Silabas,Palabras,Frases,PROPN,VERB,ADJ,Indice Flesch-Szigriszt,Escala Inflesz
579,294,10,23,23,22,54.74,Dificil
576,303,14,24,35,13,66.76,Facil
523,279,30,14,40,10,80.75,Facil
228,112,5,16,16,8,57.61,Normal
1107,520,23,33,44,37,51.6,Dificil
541,278,22,25,36,17,72.96,Facil
1311,582,30,47,59,37,47.1,Dificil
2121,1094,69,43,140,66,70.2,Facil
2695,1368,111,94,141,87,71.78,Facil
1929,910,47,135,69,56,55.41,Normal
3758,1785,120,184,184,122,60.8,Normal
2754,1251,68,147,77,93,51.29,Dificil
1297,617,35,91,50,47,58.25,Normal
