topico,news_date_reported,newspaper_name,conteo
0,2018-11-30,Puebla,3
0,2018-11-30,Salamanca,2
0,2018-11-30,San Juan del Rio,3
0,2018-11-30,San Luis Potosi,1
0,2018-11-30,Tampico,9
0,2018-11-30,Tijuana,3
0,2018-11-30,Tlaxcala,1
0,2018-11-30,Toluca,2
0,2018-11-30,Tulancingo,7
0,2018-11-30,Mexicali,1
0,2018-11-30,Coahuila,3
0,2018-12-01,Queretaro,4
0,2018-12-01,Xalapa,3
0,2018-12-01,Chiapas,8
0,2018-12-01,Chihuahua,1
0,2018-12-01,Tabasco,3
0,2018-12-01,Guadalajara,1
0,2018-12-01,Cordoba,2
0,2018-12-01,Cuernavaca,2
0,2018-12-01,Irapuato,3
0,2018-12-01,Guanajuato,1
0,2018-12-01,Aguascalientes,1
0,2018-12-01,Leon,4
0,2018-12-01,Puebla,4
0,2018-12-01,Salamanca,1
0,2018-12-01,San Juan del Rio,5
0,2018-12-01,Tampico,3
0,2018-12-01,Tlaxcala,5
0,2018-12-01,Zacatecas,1
0,2018-12-01,Mexicali,1
0,2018-12-01,Coahuila,3
1,2018-11-23,Cordoba,1
1,2018-11-23,Irapuato,2
1,2018-11-23,Guanajuato,1
1,2018-11-23,Aguascalientes,1
1,2018-11-23,Leon,1
1,2018-11-23,Salamanca,1
1,2018-11-23,San Luis Potosi,1
1,2018-11-23,Zacatecas,2
1,2018-11-24,Xalapa,1
1,2018-11-24,Cordoba,1
1,2018-11-24,Pachuca,1
1,2018-11-24,Aguascalientes,1
1,2018-11-24,Leon,1
1,2018-11-24,San Juan del Rio,1
1,2018-11-24,San Luis Potosi,1
1,2018-11-24,Tijuana,1
1,2018-11-24,Tlaxcala,2
1,2018-11-24,Toluca,3
1,2018-11-24,Tulancingo,1
1,2018-11-24,Mexicali,2
1,2018-11-25,Queretaro,1
1,2018-11-25,Xalapa,2
1,2018-11-25,Cordoba,1
1,2018-11-25,Pachuca,3
1,2018-11-25,Guanajuato,2
1,2018-11-25,Orizaba,2
1,2018-11-25,Salamanca,2
1,2018-11-25,Tijuana,2
1,2018-11-25,Tulancingo,2
1,2018-11-26,Queretaro,2
1,2018-11-26,Pachuca,2
1,2018-11-26,Irapuato,1
1,2018-11-26,Guanajuato,1
1,2018-11-26,Leon,1
1,2018-11-26,Salamanca,1
1,2018-11-26,San Juan del Rio,2
1,2018-11-26,San Luis Potosi,2
1,2018-11-26,Tijuana,4
1,2018-11-26,Toluca,2
1,2018-11-26,Tulancingo,2
1,2018-11-27,Queretaro,1
1,2018-11-27,Xalapa,4
1,2018-11-27,Cordoba,3
1,2018-11-27,Pachuca,3
1,2018-11-27,Irapuato,2
1,2018-11-27,Leon,2
1,2018-11-27,Orizaba,1
1,2018-11-27,Salamanca,1
1,2018-11-27,San Juan del Rio,1
1,2018-11-27,San Luis Potosi,3
1,2018-11-27,Tijuana,3
1,2018-11-27,Tlaxcala,2
1,2018-11-27,Toluca,6
1,2018-11-27,Tulancingo,4
1,2018-11-27,Zacatecas,1
1,2018-11-27,Mexicali,2
1,2018-11-28,Xalapa,1
1,2018-11-28,Chihuahua,1
1,2018-11-28,Tabasco,1
1,2018-11-28,Acapulco,2
1,2018-11-28,Cuautla,2
1,2018-11-28,Cuernavaca,3
1,2018-11-28,Sonora,1
1,2018-11-28,Pachuca,3
1,2018-11-28,Irapuato,1
1,2018-11-28,Leon,3
1,2018-11-28,Orizaba,1
1,2018-11-28,San Juan del Rio,1
1,2018-11-28,San Luis Potosi,1
1,2018-11-28,Tijuana,3
1,2018-11-28,Toluca,4
1,2018-11-28,Tulancingo,1
1,2018-11-28,Zacatecas,3
1,2018-11-28,Mexicali,1
1,2018-11-29,Queretaro,1
1,2018-11-29,Xalapa,2
1,2018-11-29,Chihuahua,1
1,2018-11-29,Tabasco,1
1,2018-11-29,Guadalajara,1
1,2018-11-29,Cordoba,1
1,2018-11-29,Durango,1
1,2018-11-29,Sonora,2
1,2018-11-29,Irapuato,1
1,2018-11-29,Guanajuato,1
1,2018-11-29,Leon,3
1,2018-11-29,Orizaba,1
1,2018-11-29,San Luis Potosi,1
1,2018-11-29,Tlaxcala,2
1,2018-11-29,Toluca,2
1,2018-11-29,Coahuila,2
1,2018-11-30,Queretaro,1
1,2018-11-30,Sonora,1
1,2018-11-30,Pachuca,3
1,2018-11-30,Aguascalientes,2
1,2018-11-30,Puebla,2
1,2018-11-30,Salamanca,2
1,2018-11-30,San Juan del Rio,1
1,2018-11-30,San Luis Potosi,1
1,2018-11-30,Tijuana,2
1,2018-11-30,Tlaxcala,4
1,2018-11-30,Toluca,1
1,2018-11-30,Tulancingo,2
1,2018-11-30,Zacatecas,2
1,2018-12-01,Xalapa,1
1,2018-12-01,Puebla,1
1,2018-12-01,Coahuila,1
2,2018-11-23,Xalapa,1
2,2018-11-23,Guadalajara,1
2,2018-11-23,Cordoba,1
2,2018-11-23,Cuautla,1
2,2018-11-23,Cuernavaca,1
2,2018-11-23,Irapuato,2
2,2018-11-23,Leon,2
2,2018-11-23,Orizaba,1
2,2018-11-23,Salamanca,1
2,2018-11-23,San Luis Potosi,1
2,2018-11-23,Tijuana,3
2,2018-11-23,Tlaxcala,2
2,2018-11-23,Toluca,1
2,2018-11-24,Xalapa,1
2,2018-11-24,Cuautla,1
2,2018-11-24,Cuernavaca,1
2,2018-11-24,Salamanca,1
2,2018-11-24,San Luis Potosi,1
2,2018-11-24,Tijuana,3
2,2018-11-24,Zacatecas,1
2,2018-11-24,Mexicali,1
2,2018-11-25,Guadalajara,1
2,2018-11-25,Guanajuato,3
2,2018-11-25,Leon,1
2,2018-11-25,San Luis Potosi,3
2,2018-11-25,Toluca,1
2,2018-11-25,Zacatecas,1
2,2018-11-26,Queretaro,1
2,2018-11-26,Xalapa,2
2,2018-11-26,Cordoba,1
2,2018-11-26,Irapuato,1
2,2018-11-26,Aguascalientes,2
2,2018-11-26,Leon,1
2,2018-11-26,Orizaba,1
2,2018-11-26,Salamanca,1
2,2018-11-26,Tijuana,3
2,2018-11-26,Zacatecas,2
2,2018-11-27,Xalapa,1
2,2018-11-27,Guadalajara,1
2,2018-11-27,Cordoba,1
2,2018-11-27,Cuautla,1
2,2018-11-27,Cuernavaca,1
2,2018-11-27,Irapuato,1
2,2018-11-27,Guanajuato,2
2,2018-11-27,Aguascalientes,2
2,2018-11-27,Leon,3
2,2018-11-27,Orizaba,1
2,2018-11-27,San Juan del Rio,1
2,2018-11-27,San Luis Potosi,2
2,2018-11-27,Tijuana,2
2,2018-11-27,Zacatecas,3
2,2018-11-27,Mexicali,2
2,2018-11-28,Xalapa,2
2,2018-11-28,Guadalajara,1
2,2018-11-28,Cordoba,2
2,2018-11-28,Irapuato,2
2,2018-11-28,Leon,6
2,2018-11-28,Orizaba,2
2,2018-11-28,Tijuana,1
2,2018-11-28,Zacatecas,2
2,2018-11-28,Mexicali,1
2,2018-11-29,Queretaro,1
2,2018-11-29,Xalapa,2
2,2018-11-29,Acapulco,2
2,2018-11-29,Cordoba,2
2,2018-11-29,Irapuato,1
2,2018-11-29,Guanajuato,2
2,2018-11-29,Leon,4
2,2018-11-29,Orizaba,1
2,2018-11-29,San Luis Potosi,3
2,2018-11-29,Tijuana,3
2,2018-11-29,Zacatecas,1
2,2018-11-30,Guadalajara,1
2,2018-11-30,Irapuato,4
2,2018-11-30,Leon,4
2,2018-11-30,Puebla,1
2,2018-11-30,San Luis Potosi,2
2,2018-11-30,Tijuana,1
2,2018-12-01,Cuautla,1
2,2018-12-01,Cuernavaca,1
2,2018-12-01,Irapuato,1
2,2018-12-01,Leon,3
3,2018-11-23,Cordoba,1
3,2018-11-23,San Luis Potosi,1
3,2018-11-23,Tampico,1
3,2018-11-24,Queretaro,1
3,2018-11-24,Tlaxcala,1
3,2018-11-24,Mexicali,1
3,2018-11-25,San Luis Potosi,1
3,2018-11-25,Tlaxcala,1
3,2018-11-26,Cuautla,2
3,2018-11-26,Cuernavaca,1
3,2018-11-26,Pachuca,2
3,2018-11-26,Tulancingo,2
3,2018-11-27,Cuautla,1
3,2018-11-27,Cuernavaca,1
3,2018-11-27,Pachuca,1
3,2018-11-27,Guanajuato,1
3,2018-11-27,Tlaxcala,2
3,2018-11-27,Zacatecas,1
3,2018-11-28,Acapulco,1
3,2018-11-28,Pachuca,1
3,2018-11-28,Tijuana,1
3,2018-11-28,Tlaxcala,1
3,2018-11-28,Tulancingo,1
3,2018-11-29,Chihuahua,1
3,2018-11-29,Cuautla,1
3,2018-11-29,Cuernavaca,1
3,2018-11-29,Durango,1
3,2018-11-29,San Luis Potosi,1
3,2018-11-30,San Luis Potosi,1
3,2018-11-30,Tijuana,2
3,2018-11-30,Tlaxcala,1
3,2018-11-30,Zacatecas,1
3,2018-12-01,Cuautla,1
3,2018-12-01,Cuernavaca,1
4,2018-11-23,Irapuato,1
4,2018-11-23,Salamanca,1
4,2018-11-24,Leon,3
4,2018-11-24,Toluca,1
4,2018-11-24,Mexicali,1
4,2018-11-25,Guanajuato,1
4,2018-11-26,Guanajuato,1
4,2018-11-26,Leon,1
4,2018-11-26,Tlaxcala,1
4,2018-11-26,Mexicali,2
4,2018-11-27,Xalapa,2
4,2018-11-27,Cordoba,1
4,2018-11-27,Cuautla,1
4,2018-11-27,Cuernavaca,1
4,2018-11-27,Guanajuato,1
4,2018-11-27,Salamanca,1
4,2018-11-28,Guanajuato,1
4,2018-11-28,Tlaxcala,1
4,2018-11-29,Xalapa,1
4,2018-11-29,Acapulco,1
4,2018-11-29,Cordoba,1
4,2018-11-29,Irapuato,1
4,2018-11-29,Guanajuato,1
4,2018-11-30,Queretaro,1
4,2018-11-30,Pachuca,1
4,2018-11-30,Irapuato,1
4,2018-11-30,Tulancingo,1
